"from" "to" "strength"
"1" "ca3" "gene1" 1
"2" "ca8" "gene1" 1
"3" "ca9" "gene1" 1
"4" "ca10" "gene1" 0.999999999999997
"5" "ca11" "gene1" 0.999626341821732
"6" "cg16" "gene1" 0.999999999999976
"7" "ca2" "ca4" 2.22837649348634e-58
"8" "ca4" "ca6" 1.53511346224406e-15
"9" "ca4" "ca11" 1.80676197762363e-13
"10" "ca6" "ca11" 2.81524437337953e-12
"11" "ca2" "ca6" 2.2031692405598e-10
"12" "ca7" "ca10" 2.52824217384419e-06
"13" "ca3" "ca8" 0.000150147399234405
"14" "ca3" "ca9" 0.000660309670955701
"15" "ca10" "ca3" 0.00116108080065248
